method,test_accuracy,forget_accuracy,retain_accuracy,computation_time_seconds,gpu_memory_mb,test_loss,forget_loss,retain_loss,ram_memory_mb
GradientAscent,70.80220850925625,11.012805587892899,76.38692055966399,103.57374382019043,262.49658203125,30.848631438911994,116.57156797501234,22.38492154602118,1378.8515625
FisherForgetting,41.71267727617192,28.358556461001164,43.43580097400088,213.76265573501587,425.86669921875,,,,1329.03125
FullRetrain,76.17191728916315,8.358556461001164,99.64183565667757,2649.4343841075897,589.09619140625,2.1732284356437135,13.983775869178062,0.011502173890187716,1399.28125
