epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,gpu_memory_mb,time_seconds
1,0.01685249863852558,0.0037372641007183925,52.77687560896395,68.25324369351935,39.79171006603111,0.00019980365947861302,180.6015625,148.9043025970459
2,0.010252848991067388,0.003063520889428757,61.81660712352495,74.40361450698357,44.23883519269763,0.00019921541278079054,181.3515625,114.51925539970398
3,0.009790344008684653,0.0037749401256635426,57.83262964165855,71.79495466248912,42.72897148556925,0.00019823758144750452,179.8515625,118.25934386253357
4,0.00387425258437724,0.0011717552539663289,81.81227671321858,87.5615706396717,64.09608183182038,3.995645413315149e-05,427.2900390625,223.77189254760742
5,0.002222540646187732,0.0034661925485729044,83.26296416585471,85.45223989328123,63.014345864830055,3.982601101901821e-05,433.1337890625,223.57643604278564
6,0.0012573811364079356,0.0016771422091438064,83.94500378910902,81.78945366923928,66.49361604664577,3.960925324821344e-05,429.0087890625,223.85793495178223
7,0.0018502869326953168,0.0014544075784592883,84.39969687127855,85.90058557516444,73.38058372479986,3.9307148913560344e-05,431.0087890625,224.08321857452393
8,0.0010794644913727414,0.004809437267269591,83.9666558406409,74.63504109752196,68.26791453783859,3.892104728635442e-05,429.0087890625,224.34071397781372
9,0.0014021759335509604,0.001497031870923669,83.43618057810977,85.06828235005877,64.16799413000571,3.8452672790190364e-05,429.0087890625,224.65446162223816
10,0.0012367438805542274,0.005065131678593798,84.25895853632132,78.32966760991263,69.85944327269141,3.7904117299267686e-05,429.0087890625,224.76419043540955
11,0.0009063582628589945,0.005007497790181135,83.94500378910902,78.74927097744862,71.97028039989422,3.727783079557272e-05,429.0087890625,224.59371399879456
12,0.0028968475449604033,0.0022890709978691465,83.73930929955613,82.09011013375486,69.15751534002507,3.657661042666433e-05,429.0087890625,224.64416575431824
13,0.0007154751199368648,0.005422913032338373,83.03561762476994,78.3202143271056,76.41430718938338,3.580358801293389e-05,429.0087890625,227.20414566993713
14,0.001888314048534198,0.003216549146084186,85.23330085525603,78.88449818005712,72.07182456950333,3.496221606013518e-05,429.0087890625,226.26174664497375
15,0.0008543736950084086,0.005756335270653115,83.2846162173866,81.72101776619387,72.76628703020825,3.4056252339655526e-05,429.0087890625,226.01609539985657
16,0.0010504292904328207,0.0033781859175244485,84.19400238172567,82.42809527265882,63.624776008248574,3.308974310539664e-05,429.0087890625,225.78060150146484
17,0.0008490166064715131,0.004076272783891393,84.85438995344809,78.72338440868303,68.60102691109233,3.206700502222242e-05,429.0087890625,226.85947704315186
18,0.0006684579067570023,0.005475332711089747,85.37403919021327,79.54682079873504,75.07655444551929,3.0992605886685764e-05,429.0087890625,226.64363026618958
19,0.0008179780342874121,0.005620218499646817,85.57973367976616,79.33559761660834,75.14848403697542,2.987134422614033e-05,429.0087890625,225.72876167297363
